descricao,interacoes,reviews,tamanho,tempo_de_analise
552,12,7,16,1131
2318,10,3,30,1253
2571,0,1,4,341
2543,1,3,7,46
2051,1,1,9,189
2003,16,5,19,1246
2085,12,4,2,445
2272,8,9,8,28
1723,13,6,32,2445
2353,1,3,88,104
2112,0,1,2,54
3473,16,8,6,1244
2213,1,7,2,81
2142,5,4,2,22
1880,5,7,2,90
1971,0,1,2,2
2017,7,1,1,543
2081,0,1,2,15
1983,0,1,8,5
2051,1,1,151,32
2771,6,1,4,987
2513,0,1,22,40
2101,7,5,92,28
2380,9,7,10,188
2018,4,1,2,71
2317,11,1,87,969
2006,2,1,2,31
4946,0,1,2,3974
1973,7,4,250,47
2257,4,3,66,179
2176,2,2,4,682
2022,12,13,34,559
2302,12,2,2,202
1960,0,1,2,32
8010,1,1,2,150
2163,0,1,8,598
2006,1,1,2,400
1966,1,1,2,129
2326,9,1,4,357
2044,2,5,4,3657
2041,5,3,7,3658
2304,0,1,2,7
2003,2,1,15,162
2090,1,1,30,22
2278,3,1,2,71
2438,8,1,2,2473
1986,0,1,63,233
1086,3,2,12,15
2090,4,1,3,12
0,1,1,2,58
2169,0,2,2,3231
2403,8,1,1,1281
2068,1,1,2,73
2496,2,1,14,1565
2579,4,2,4,1529
1990,8,2,149,34
911,4,1,20559,166
93,3,4,71,532
2361,1,7,22,421
2173,0,1,2,2
2069,3,1,2,66
1952,4,1,4,21
2121,7,3,3,12
2051,1,1,2,1
1429,3,1,20541,1436
2104,1,1,4,14
1939,1,1,1,17
2174,1,1,2,129
1456,3,5,8,498
2057,0,1,4,68
2144,0,1,1,43
2133,2,1,2,28
1987,5,1,4,24
1980,5,1,3,880
2249,4,1,2,174
4118,7,4,815,2566
2052,0,1,2,244
2097,4,10,24,396
2116,13,3,63,747
3715,17,4,139,1846
2320,2,2,142,101
255,5,1,2,23
1984,1,1,4,81
563,6,3,17,346
2195,6,2,16,50
2246,1,1,17,14
115,3,2,3,13
1774,0,1,10,623
28,9,1,45,1070
261,12,17,106,2145
61,0,1,2,113
1970,4,1,2,10
2273,4,1,2,3
929,6,1,5,18
2068,8,1,6,7
2000,0,2,329,38
104,3,1,30,28
1602,2,1,28,11
2052,4,1,3,444
2050,2,1,4,238
1978,2,1,2,234
2031,3,1,2,54
2149,3,3,75,96
2165,0,1,3,205
1667,2,1,4,115
1714,1,2,58,71
2221,8,2,141,2264
1984,3,1,4,169
2014,7,1,10,1711
442,1,1,4,4
2121,4,1,2,41
1690,9,6,3,121
0,3,1,92,10
1726,9,4,2,90
0,0,1,4,23
2099,0,1,2,18
88,2,1,9547,64
1879,3,3,3,15
2252,1,1,5,11
2120,2,2,8,1307
685,1,1,1086,40
2059,1,3,6,1243
2518,19,10,40,2224
2268,10,11,74,2223
2026,6,3,3,288
1980,4,2,1,265
3031,14,25,36,123
2139,4,1,7,79
98,7,1,65,19
2104,4,3,9,42
1945,18,6,64,144
2051,0,1,16,13
2041,17,5,45,1682
1978,12,4,26,551
1940,2,1,8,10
71,7,2,924,441
2218,1,2,9,73
2380,3,5,9,523
2205,6,2,9,313
6099,3,2,14,254
924,5,4,10,553
1032,6,1,10,2647
1322,5,6,10,170
1104,4,2,580,147
50,2,1,8,1143
2251,6,2,3,86
2352,11,4,26,1456
1929,3,3,4,17
2000,1,1,2,10
2647,17,4,14,92
1991,7,1,3389,570
2290,1,4,2,67
2011,1,1,4,61
294,2,1,105,395
2228,2,3,7,2249
2054,9,1,11,693
2060,7,2,18,36
1838,4,2,25,370
1620,1,1,4,511
1163,6,2,27,34
167,1,6,6,64
2043,10,3,125,93
1904,8,6,18,123
2459,0,1,37,398
2166,10,1,5,34
1948,0,1,3,68
2471,1,1,25,1395
1972,1,3,2,178
1978,5,2,21,1861
436,5,2,69,949
1926,1,1,11,904
1926,0,2,12,160
1926,0,1,14,185
1926,0,1,12,159
2045,29,9,66,295
2070,1,1,6,55
1927,4,2,5,3
1926,3,1,32,2
2007,0,1,4,1
1926,9,2,19,1895
2342,4,1,20,188
2036,6,1,29,24
2007,0,1,5791,1038
1433,6,1,40,1182
207,2,1,2,970
2006,7,2,48,1084
25965,9,2,16,1451
1636,3,1,24,94
1078,0,1,62,31
2145,2,1,5,5
6715,114,1,5388,327
2132,1,1,23,159
17,4,1,139,32
43,3,2,24,1
2020,0,1,1,8
2094,4,2,2,1
2134,13,1,23,18
2099,0,1,2,5
1924,0,1,14,4
2237,1,2,2,28
2094,6,1,2,6
1319,4,1,12,3
13,7,2,856,214
14,9,10,2646,571
13,3,3,199,44
1629,3,2,3,146
1926,1,1,926,117
2147,10,3,274,140
2232,2,4,17,14
2537,15,16,393,187
14,2,1,10,18
3527,5,6,79,59
2227,7,2,29,26
113,1,1,8,84
2080,0,1,3,19
2083,2,8,15,29
2056,13,3,15,16
2343,4,3,16,8
81,2,1,418,134
2072,11,3,3,353
2281,6,2,2,501
331,27,3,1470,161
1949,2,2,106,123
2321,3,2,4,468
1031,0,1,4,141
1942,3,1,12,8
1786,3,8,155,14
1943,8,3,3,42
2060,1,1,2,13
3279,4,2,50,432
2099,3,1,39,3
1927,18,4,72,1418
2002,3,1,9,51
364,6,5,254,233
1119,8,2,4,25
2363,9,5,6,102
1366,6,2,7,247
1978,3,4,37,28
1288,35,7,3237,348
13,4,2,54,35
1264,20,10,8719,987
2324,1,1,10,211
49,2,1,166,10
1168,7,7,4,83
3035,1,1,13,192
27,6,2,1283,312
2792,1,1,33,235
2311,1,3,2,8
2442,14,5,92,206
263,2,1,71,6
2314,5,2,10,83
2743,4,2,40,48
1274,8,3,917,866
2048,1,2,2,360
2843,11,12,45,157
228,5,5,20,68
2415,0,1,12,165
2057,0,1,4,138
2096,2,1,8,158
1239,9,2,8,279
3421,1,1,64,148
1149,2,2,18,98
2040,1,1,2,129
1995,0,1,11,128
2221,4,2,60,172
2268,6,2,38,812
1289,2,1,2,34
2161,2,4,8,396
2524,0,1,6,75
0,2,1,14,68
2484,3,2,66,60
2095,1,1,6,73
2313,16,2,4,366
2071,2,1,3,72
1926,0,1,5,9
31,1,1,2,9
1543,17,8,113,96
2112,5,3,10,32
223,0,1,145,14
96,0,1,12,8
2177,10,28,318,1077
2062,0,1,4,6
2044,1,1,4,2
2430,3,1,1,52
0,1,1,3,22
504,65,6,7443,1768
2813,1,1,18,187
1943,2,1,3,14
1926,0,1,2,10
2428,20,5,23,102
1926,6,2,2,46
555,0,1,8,20
2087,4,2,2,26
1103,6,12,40,118
2077,1,1,2,113
2235,2,1,478,5
1974,0,7,2,12
2173,5,1,19,105
364,3,6,1518,78
2026,2,1,2,266
13,2,1,1226,74
1927,1,1,344,74
2037,8,2,11,237
2052,3,1,6,21
1984,3,1,2,187
2084,1,1,3,192
0,3,1,405,89
2240,1,1,8,14
1032,0,1,2,8
1991,0,1,2,4
2020,7,1,3306,362
2268,7,2,5,56
1601,8,2,1,51
2384,5,7,127,315
2113,0,1,5,117
2286,2,1,3,79
2436,3,3,11,290
2121,3,1,4,114
1961,1,1,2,96
1954,1,1,2,82
2619,0,1,6,82
2651,4,3,14,240
2396,3,2,2,61
2263,2,1,2,53
13,4,2,14,99
2318,0,1,2,8
69,0,1,21,7
237,7,3,6083,214
1642,5,1,5,50
955,3,2,205100,140
1907,2,2,2,98
2221,1,1,2,62
2270,2,1,2,58
2557,5,3,37,531
2395,2,1,10,73
2135,4,2,14,3
1926,4,3,33,98
1943,3,3,2,41
29,0,2,6,73
32,0,1,2,14
1974,3,2,28,6
2026,2,1,2,1
2023,9,6,24,31
2115,3,1,5,18
2277,5,2,154,5
1007,8,1,3,461
2040,3,3,3,265
2061,11,9,23,454
2011,2,2,3,457
2086,1,1,24,3
1955,3,1,1,157
2535,11,1,5,207
239,5,1,910,195
2486,7,3,18,37
108,4,1,1610,21
2062,1,1,2,125
1943,5,1,146,106
2000,10,1,8,759
1957,5,2,3,20
1014,1,1,2,5
1957,12,4,49,342
2066,4,6,611,72
1979,9,9,1186,217
1927,0,1,131,132
2084,2,1,14,1564
2196,2,1,2,33
2556,14,8,31,525
2257,13,12,434,249
2259,26,2,7,428
2237,15,9,82,470
2117,3,4,24,69
2726,2,1,2,31
2115,12,1,1288,58
1926,2,3,6,153
2198,1,1,3,8
2109,5,1,36,393
1926,3,3,119,151
1340,6,1,9,361
2058,2,3,42,30
1113,11,1,1605,275
2066,1,2,530,14
1041,8,3,45,256
2063,2,2,4,165
1964,1,1,1,2
2002,3,1,6,21
29,23,3,49,753
1926,4,1,2,31
2131,2,1,44,21
2362,1,3,8,9
2086,6,1,5,17
2037,4,1,820,170
1957,1,1,14,2
217,3,1,53,1465
137,2,7,8,192
2466,7,2,500,1404
2057,2,1,2,12
2081,6,2,2,166
2241,2,3,3,62
2626,3,1,276,50
950,1,1,2,1
1987,3,1,4,50
1973,3,1,10,34
2405,9,14,203,455
1949,3,2,64,22
24,18,29,120,169
267,4,5,4,266
1988,0,1,2,8
1950,2,5,2,262
2068,0,1,2,777
2269,0,1,2,8
2630,5,2,8,19
1932,4,3,11,192
1989,3,3,20,479
1926,4,1,4,690
1999,2,1,2,81
2001,4,1,2,398
1991,4,5,10,388
2017,2,1,2,2
2179,5,2,2,85
2118,1,7,5,985
2156,6,1,10,38
2199,8,1,2,32
2038,7,3,18,16
2176,4,2,29,108
2003,11,2,4,266
1971,1,2,2,31
2061,9,1,4,18
2153,5,1,29,419
2017,9,2,1,72
1967,2,1,7,178
1998,5,2,19817,16
2299,1,1,6,5
2247,4,1,4,81
1997,2,1,4,68
2117,7,2,67,113
2223,2,1,7,197
2182,2,1,5,338
2014,1,1,146,17
2965,7,1,22,210
3407,0,1,9,70
3671,0,1,12,70
3218,0,1,14,70
2532,2,1,18,70
3773,1,1,8,69
2139,1,1,2,4
2408,6,2,4,237
2092,2,1,2,73
2418,2,1,2,80
2044,4,1,2,23
1084,2,1,4,39
1055,5,1,6,270
970,0,1,4,11
0,1,1,409,276
1926,4,3,28,1
2856,6,1,28,78
2909,0,1,16,27
14,0,2,93,90
0,2,1,544,89
3109,3,1,20,6
3247,6,2,17,62
2,3,7,124,94
2443,2,1,15,34
3363,3,1,8,33
1385,7,1,4,97
205,7,1,10431,85
3047,2,1,9,47
13,2,1,2,12
89,1,1,6,4
2730,6,1,2,364
2076,0,1,2,3
1992,5,1,2,11
149,1,1,973,1
545,3,1,113,22
1943,7,3,237,266
27,4,3,2756,23
79,0,1,462,19
585,1,1,393,15
0,5,4,55,9
1085,0,1,4,1
1926,0,1,106,3
29,9,10,338,75
2091,1,1,4,36
0,0,1,7,1
2237,0,1,2,1
0,1,2,197,18
241,0,1,35,3
0,0,1,70,3
98,0,1,4,9
0,1,3,120,4
1674,5,1,30,5
130,0,1,70,6
1964,7,3,2,1512
2103,0,1,2,2
64,5,1,101,4
23,0,2,12,4
1926,1,2,125,49
2014,7,2,352,100
1112,0,1,2,35
1034,0,2,12,34
2063,1,1,6,32
1926,5,2,6,126
1926,0,1,349,34
28,1,1,69,18
1958,14,3,22,101
1015,7,1,3,100
1926,10,4,169,85
1958,10,3,0,68
2152,5,1,12182,330
0,3,15,268,2630
2339,4,1,3,39
1926,8,3,186,186
3416,2,1,2,111
1703,1,1,24,2
1926,1,1,2,43
1947,4,1,2,49
2113,1,1,10,8
0,5,3,50,218
14,0,1,6,53
2007,1,1,4,145
2263,3,1,19,249
592,1,1,132,4
0,1,2,164656,45
0,0,1,6,135
2122,6,1,14,156
0,0,1,63,38
370,2,2,327,49
0,4,5,560,894
56,0,1,87,16
1810,0,1,1474,41
2448,0,1,2,1
2037,2,1,52,747
1926,2,1,4,173
2208,2,1,4,44
207,7,3,5,396
1913,2,1,164,81
1928,1,1,8,262
1057,2,3,5,595
2705,1,3,8,162
2152,2,1,5,786
0,0,1,26,2
0,0,1,8,4
0,0,1,16990,763
2309,1,1,40,513
2112,1,1,178,540
0,0,1,34,7
2107,7,2,209,604
0,0,2,164,1
2912,1,1,6,436
111,2,1,14,36
36,13,4,168,9455
1825,0,1,13,5
2088,0,2,2,40
104,1,2,81995,1
1552,0,2,12,39
2004,2,1,792,664
2482,0,1,11,59
1651,0,1,2,155
490,0,2,181,166
2670,1,1,9,140
1810,0,1,8712,18
1977,0,1,8,51
1944,2,1,74,35
1996,1,3,2,32
1926,1,1,2,10
1926,0,1,3,10
1926,1,1,2,10
1926,1,1,2,10
1926,1,1,4,10
2018,1,1,6,138
2406,3,1,1,137
1012,4,1,2,125
0,0,2,2749,171
1922,1,3,4,58
1962,0,2,2,42
1926,1,1,85,1
14,1,1,518,13
2062,1,4,7364,31
1926,1,1,4,8
0,0,1,7,6
1882,1,2,4,2
1927,3,1,213,22
1951,1,2,4,34
2352,0,1,1,11
2014,1,1,6,5
2034,1,1,1,4
2017,1,1,2,3
1295,3,1,94,14
2958,1,1,109,13
1511,1,1,37,13
2848,1,3,21,6
2896,1,1,101,9
2932,1,1,90,5
2878,1,1,2,4
1008,2,1,18,4
3016,0,1,2,4
3006,1,1,111,4
3236,3,1,2,3
2878,0,1,65,3
2151,1,1,95,7
2878,1,1,4,3
2878,1,1,2,26
2980,0,1,68,26
2971,1,1,8,37
2878,1,1,16,37
2878,1,2,2,71
2878,1,1,4,35
2878,1,1,5,35
2954,1,1,16,35
2878,3,1,2,35
2878,1,1,30,36
2878,1,1,36,36
2878,1,1,2,36
2878,1,1,2,36
2969,1,1,8,36
2798,1,1,12,35
2996,0,1,24,54
2926,0,1,20866,5
2878,2,2,11,10
2848,1,3,2,51
3027,1,2,2,51
2939,2,1,5,97
2967,0,1,27,50
2951,1,2,4,95
2878,1,1,473836,95
3004,2,1,0,13
3029,1,1,82,55
2925,0,1,2,32
3195,1,1,35,55
2930,0,1,3,39
2950,1,1,4,55
784,1,1,3,39
627,6,2,42,527
873,1,3,0,558
778,0,1,2,46
767,0,1,4,46
720,1,2,78,68
749,0,1,28,1
818,1,2,20,68
743,1,1,16,54
958,1,1,10,54
720,1,1,8,54
720,1,4,26,111
720,1,1,31,3
720,2,3,32,615
936,1,3,29,59
720,0,1,1095600,10
768,2,1,38,110
720,0,1,3,58
983,1,1,42,2
720,0,1,2,58
720,0,1,4,51
720,0,1,1,58
720,0,1,12,70
846,4,1,4,24
769,0,1,23,74
664,0,1,4,54
725,1,1,2,64
790,2,1,10,69
785,2,1,145,193
1036,1,1,93,55
848,1,1,21,5
77,2,1,101,5
814,1,1,19,5
728,1,1,2,3
643,5,3,7,583
581,8,3,321,1423
620,8,3,83,1422
764,1,2,42,4
825,1,1,13,59
478,2,5,13,23
609,1,1,22,69
720,1,3,12,599
720,1,3,34,51
720,1,3,22,50
780,1,1,30,9
823,1,1,4,57
720,0,1,22,54
720,3,1,8,53
772,2,2,15,53
966,1,1,2,3
720,0,1,4,54
720,0,1,7,54
785,0,2,57,54
788,1,1,1,54
837,0,1,11,53
847,2,1,4,7
789,0,2,17,52
750,0,2,29,52
713,1,3,427,1
767,0,1,2,1
741,5,3,8,51
720,0,1,4,60
994,0,1,2,10
720,1,1,2,6
721,2,2,12,3236
765,1,1,18,1
1286,3,2,23,48
2,0,1,11,12
660,2,2,32,24
720,4,1,4,50
743,0,2,3,45
729,8,2,8,2
754,0,1,1,45
609,0,1,2,7
720,0,1,36,83
822,3,1,6,126
788,0,2,2,33
720,1,1,2,81
725,1,1,2,81
849,1,3,81,174
849,2,1,16,125
725,1,2,6,611
795,1,2,4,488
725,1,1,2,80
777,1,1,7,22
800,2,4,3,177
768,0,2,48,36
687,1,1,4,135
656,2,1,4,175
885,2,2,48,175
609,1,1,3,159
607,2,1,5,175
720,1,2,10,122
721,2,1,1,122
720,2,1,34,122
720,1,1,17,39
720,0,2,49,39
720,1,1,2,366
832,0,5,2,38
720,2,1,19,39
720,2,1,2,366
720,0,2,2,460
720,0,2,2,460
720,0,2,2,460
721,8,2,7,3248
720,0,2,2,38
720,0,2,6,483
907,2,2,8,3096
720,0,2,10,482
828,3,2,7,3096
720,0,2,12,482
720,0,2,16,482
765,0,2,10,35
611,1,1,42,9
720,2,1,3,3
616,0,2,2,480
720,0,1,12,32
834,2,1,2,3
745,2,3,50,141
720,2,1,76,152
725,0,5,62,33
720,1,1,5,383
1443,1,6,41,20
720,1,1,36,114
779,2,1,5,29
725,0,1,2,3
725,0,1,2,1
824,1,1,2,514
720,1,1,1,14
771,1,3,24,4
748,1,1,8,141
877,1,1,4,23
720,1,1,21,12
720,0,1,2,220
720,0,1,2,220
720,0,1,2,220
1041,0,1,22,11
720,0,1,12,26
720,1,1,2,750
720,0,1,2,26
818,0,1,8,16
756,1,1,15,6
720,0,1,6,15
727,1,1,8,5
727,0,6,9,15
760,0,1,61,14
331,5,1,87,14
609,1,2,44,22
960,1,3,6,2
1133,0,1,6,1
944,0,2,14,8
841,1,1,10,2763
838,2,3,24,2760
720,0,1,2,1
852,1,1,2,2
720,0,3,24,3061
720,5,3,73,104
720,1,1,22,3
789,0,1,1,1
743,0,1,1,1
720,4,1,102,6
720,1,1,4,3
618,0,2,4,439
858,1,1,12,5
913,9,4,19,3103
720,0,2,2,436
720,0,2,6,435
725,1,1,7,119
609,1,1,38,236
597,5,7,19,1142
790,0,1,4,114
681,4,2,48,20
720,1,1,8,149
945,1,1,18,703
720,1,1,28,218
720,1,1,4,145
720,1,1,125,300
1048,1,1,14,10
835,1,1,14,159
804,2,1,109,13
720,1,1,27,142
793,1,1,19,158
725,3,1,37,147
720,1,1,6,720
784,4,1,17,25
1231,26,8,54,36
725,3,2,42,4947
731,0,2,11,24
874,4,1,63,1
887,1,2,18,111
950,18,6,13,703
793,1,1,151,3
720,1,1,2,3409
451,1,2,17,6
451,1,3,16,6
451,1,2,25,5
451,1,3,30,5
786,0,2,4,414
922,1,3,8,144
720,1,1,6,721
720,0,1,121,218
720,0,1,4,97
804,1,1,7,143
934,1,1,12,143
751,0,2,16,3
720,1,1,4,285
720,1,1,25,285
774,2,1,16,1754
900,1,2,36,4
809,6,1,14,2708
720,1,2,10,279
813,4,1,167,125
720,1,1,18,234
999,6,1,6,211
769,2,1,2,2
747,1,1,4,5
720,0,1,6,2
817,1,1,2,158
609,0,1,63,6
814,1,1,4,7
720,1,1,68,274
720,1,1,4,2606
726,2,1,6,274
474,10,1,2,2772
474,1,1,2,2
473,11,5,4,2600
814,4,4,5,507
735,2,1,32,112
765,0,1,2,77
720,2,2,16,225
716,3,1,2,230
748,0,2,26,388
720,1,1,18,775
899,4,1,10,3508
720,2,1,14,7039
799,1,1,4,1
720,1,1,56,797
720,2,1,12,188
720,0,1,9,32
720,0,2,4,32
720,0,1,4,32
720,1,1,13,103
720,1,1,3,103
720,1,2,4,103
720,1,1,6,194
720,1,1,5,176
592,1,1,101,141
720,1,1,14,946
744,1,1,5,104
818,1,1,1,129
720,2,1,3,225
754,4,1,7,118
846,1,1,5,106
621,1,1,6,106
720,1,1,10,187
720,0,1,2,106
786,1,1,3,106
818,4,1,11,217
719,0,1,2,224
720,0,1,2,103
720,1,1,2,119
802,2,2,6,124
720,0,1,2,123
965,3,1,28,1061
899,1,1,30,175
833,0,1,2,127
760,0,3,12,225
794,0,1,5,127
755,1,1,6,1828
788,0,1,1,127
779,0,1,1,127
720,1,1,4,388
815,2,1,4,1828
798,1,1,7,149
779,0,1,6,203
747,1,1,4,128
720,1,1,2,157
778,1,1,2,356
863,2,2,28,431
720,1,1,5,320
698,1,2,77,142
720,1,1,4,2236
720,1,1,10,265
652,0,1,16,140
1000,4,1,19,592
893,0,1,4,190
720,0,1,2,223
723,0,1,7,170
919,3,2,55,495
823,1,1,5,223
720,1,1,16,3
720,0,1,5,213
625,1,3,4,431
853,1,1,26,341
774,2,1,40,2236
810,1,2,19,386
720,1,1,1,193
784,1,1,2,3
764,1,1,2,200
791,3,1,5,218
847,1,1,7,341
720,1,1,4,200
857,1,1,19,341
837,1,1,6,200
772,1,1,2,200
797,0,2,7,341
720,1,1,1,201
808,1,1,6,140
720,1,1,2,190
720,1,1,4,175
802,0,1,4,139
769,0,1,1,126
774,0,1,2,210
720,1,1,9,1685
802,1,1,2,1043
720,0,1,5,206
720,1,1,2,212
663,2,1,22,139
798,2,2,21,211
720,0,2,127,295
720,2,1,2,214
720,1,1,8,224
720,0,2,2,208
720,0,2,7,385
609,1,2,14,1296
790,3,2,36,322
725,0,1,1,229
720,0,2,1,225
813,2,1,2,201
761,4,2,2,207
720,2,1,114,294
725,2,1,17,2210
720,2,1,25,387
720,0,1,1,201
725,0,2,16,389
788,1,1,80,223
720,0,1,2,229
1017,1,1,27,201
819,0,1,2,388
720,0,2,5,389
807,0,3,25,389
720,0,1,2,229
810,0,1,22,207
761,2,1,8,2235
765,0,1,4,207
725,0,1,4,115
720,0,1,2,242
907,5,1,38,249
453,0,1,6,207
720,0,1,10,229
720,2,1,78,164
907,0,1,8,139
725,1,1,20,3
720,0,2,14,385
915,1,1,1,223
720,2,2,12,385
832,0,1,4,2994
720,1,2,3,1
720,0,3,2,390
720,0,1,14,211
720,0,1,1,229
725,0,3,1,389
720,1,1,24,200
780,1,1,2,125
718,1,1,6,5
720,2,2,12,355
720,0,1,6,340
837,2,1,25,454
